Time,Position->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Velocity->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Current->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6
0.295990016,,1.960479259,-1.731888119,0.494077027,-1.783803765,4.748230934,3.142134666,,0.060119264,-0.073285937,-0.099823803,0.025909895,-0.000862864,-0.106491826,,-0.878789723,-1.739645004,-0.851888001,-0.19825536,-0.083877265,-0.215030804
0.303869952,,1.960982323,-1.732463662,0.493286818,-1.783827607,4.748242855,3.14129734,,0.061934475,-0.075101145,-0.102290951,0.006591324,-0.000814927,-0.104094982,,-0.901207864,-1.838284612,-0.822744489,0.001525041,-0.105227843,-0.050326359
0.311930112,,1.9614501,-1.733099286,0.492437065,-1.783648316,4.748230934,3.140447855,,0.062816516,-0.0771081,-0.10546118,0.030655649,-0.000814927,-0.110206939,,-1.008814693,-1.96606791,-0.847404361,-0.016775453,-0.089977428,-0.21198073
0.31988992,,1.96195364,-1.733711068,0.491587311,-1.78352863,4.748207092,3.139574528,,0.065488197,-0.077760041,-0.109181084,0.016178705,-0.000814927,-0.097839214,,-1.094003558,-1.992969632,-0.907933295,0,-0.114378087,-0.274507403
0.327980032,,1.962492943,-1.734322373,0.490665644,-1.783456628,4.748158932,3.138736725,,0.065577678,-0.079639174,-0.111034647,0.035904739,-0.000814927,-0.114569195,,-1.11417985,-1.912264347,-0.923625946,0.154029161,-0.129628494,-0.202830479
0.335879936,,1.962984085,-1.735018555,0.489744365,-1.783205334,4.748123169,3.137827396,,0.065079138,-0.081633344,-0.114064254,0.021595575,-0.00232494,-0.1128195,,-1.080552697,-1.824833751,-0.719621181,0.015250412,-0.109802961,-0.018300494
0.343960064,,1.963523865,-1.735641781,0.488798708,-1.783037488,4.748111248,3.136858225,,0.066983826,-0.083422989,-0.11612235,0.03235741,-0.00232494,-0.125426903,,-1.141081572,-1.753095865,-0.708412111,0.172329649,-0.09912768,-0.262307078
0.351899904,,1.964074612,-1.736361329,0.487829506,-1.782834355,4.748099327,3.135925055,,0.070805997,-0.085544996,-0.118525587,0.016082831,-0.00232494,-0.111285515,,-1.051409125,-1.629796267,-0.663575947,0.064051732,-0.105227843,-0.279082537
0.359990016,,1.964638233,-1.737021271,0.486836314,-1.782738511,4.748099327,3.134968042,,0.0704225,-0.086618781,-0.122552283,0.022674154,-0.002037318,-0.129645348,,-0.990880251,-1.553574681,-0.851888001,0.21350576,-0.109802961,-0.128103465
0.367970048,,1.965238094,-1.737764661,0.485842735,-1.782486741,4.748086929,3.133926868,,0.071572989,-0.087884314,-0.125696942,0.015579493,-0.001629855,-0.126193896,,-1.002089262,-1.522189379,-0.988638461,0.061001647,-0.125053376,-0.094552554
0.376,,1.965825081,-1.738436047,0.484753668,-1.782450978,4.74813509,3.132849932,,0.071432374,-0.087245159,-0.128522024,0.021619543,-0.001342233,-0.123365618,,-0.959494889,-1.618587255,-0.921384156,0.22723113,-0.125053376,-0.2257061
